strategy,symbol,timeframe,type,lot_size,entry_time,entry_price,exit_price,exit_time,pnl_usd,pnl_pips,exit_reason,duration_mins,win,module_id,trade_id
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-06-10 16:00:00,215.049,214.753,2026-06-10 21:00:00,180.96,29.6,BB Middle (Mean Reversion),300,True,Opt_GBPJPY_1H_US,94
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-06-11 17:00:00,213.938,214.358,2026-06-11 22:00:00,258.86,42.0,Cut Before Rollover (MT5 22:00),300,True,Opt_GBPJPY_1H_US,95
15m 鎊日白天波動收租 (v5.10 自適應帶寬),GBPJPY,15m,Buy (Short Put),1.0,2026-06-17 09:00:00,215.148,214.94021,2026-06-17 09:30:00,-135.54,-20.8,SL (-2.5 ATR),30,False,Opt_GBPJPY_15M_DAY,96
15m 鎊日白天波動收租 (v5.10 自適應帶寬),GBPJPY,15m,Buy (Short Put),1.0,2026-06-17 09:30:00,215.016,214.81396,2026-06-17 13:15:00,-131.93,-20.2,SL (-2.5 ATR),225,False,Opt_GBPJPY_15M_DAY,97
15m 鎊美美盤極速收租 (v5.10 自適應帶寬),GBPUSD,15m,Buy (Short Put),1.0,2026-06-17 14:15:00,1.3407,1.34144,2026-06-17 15:45:00,69.0,7.4,BB Middle (Mean Reversion),90,True,Opt_GBPUSD_15M_US,98
15m 鎊美美盤極速收租 (v5.10 自適應帶寬),GBPUSD,15m,Sell (Short Call),1.0,2026-06-22 13:00:00,1.32411,1.32612,2026-06-22 15:30:00,-205.66,-20.1,SL (-2.0 ATR),150,False,Opt_GBPUSD_15M_US,99
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-06-22 15:00:00,214.508,213.795,2026-06-22 21:00:00,442.93,71.3,BB Middle (Mean Reversion),360,True,Opt_GBPJPY_1H_US,100
15m 歐日白天極限收租 (v5.10 自適應帶寬),EURJPY,15m,Sell (Short Call),1.0,2026-06-23 09:15:00,184.779,184.391,2026-06-23 10:30:00,238.75,38.8,BB Middle (Mean Reversion),75,True,Opt_EURJPY_15M_DAY,101
15m 鎊美美盤極速收租 (v5.10 自適應帶寬),GBPUSD,15m,Buy (Short Put),1.0,2026-06-23 17:30:00,1.31982,1.3182,2026-06-23 20:00:00,-167.44,-16.2,SL (-2.0 ATR),150,False,Opt_GBPUSD_15M_US,102
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-06-24 13:00:00,183.359,183.735,2026-06-24 19:00:00,231.21,37.6,BB Middle (Mean Reversion),360,True,Opt_EURJPY_1H_US,103
