symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
AUDCAD,15m,DAY,2.2,2.0,1.4,121,43.8,0.42,-3096.9,3.14,42.04,78.31,-25.59,48.8,118.3
AUDNZD,1h,DAY,2.5,2.5,2.0,75,38.7,0.47,-3097.63,4.06,96.61,128.24,-41.3,30.7,517.6
EURGBP,15m,DAY,2.0,2.0,0.7,152,45.4,0.51,-3101.23,3.29,46.73,76.21,-20.4,50.7,113.9
GBPCHF,15m,DAY,2.5,2.5,1.7,68,50.0,0.46,-3102.77,3.33,76.36,167.62,-45.63,54.4,121.3
EURCAD,1h,US,2.5,1.5,1.9,76,34.2,0.51,-3105.52,3.51,125.59,127.42,-40.86,15.8,247.1
USDJPY,1h,US,2.2,1.5,1.0,69,39.1,0.53,-3112.44,3.66,131.84,158.86,-45.11,8.7,248.7
EURCHF,15m,US,2.0,1.5,1.2,60,28.3,0.25,-3124.0,3.12,62.02,97.17,-52.07,31.7,99.8
EURAUD,1h,DAY,2.2,1.5,1.7,135,40.7,0.78,-3127.52,3.9,196.47,174.17,-23.17,21.5,352.4
EURAUD,1h,US,2.0,2.0,1.7,87,42.5,0.63,-3145.16,4.73,147.53,172.08,-36.15,11.5,302.1
EURGBP,1h,DAY,2.5,1.5,0.7,112,41.1,0.65,-3149.03,3.52,129.9,138.25,-28.12,23.2,274.3
EURJPY,15m,DAY,2.2,2.5,1.2,107,50.5,0.65,-3157.64,5.05,110.08,171.74,-29.51,51.4,160.2
GBPAUD,15m,DAY,2.5,1.5,2.7,56,32.1,0.32,-3165.94,3.17,81.34,121.85,-56.53,30.4,102.3
EURNZD,15m,DAY,2.5,1.5,2.8,71,35.2,0.39,-3166.1,3.48,82.55,113.69,-44.59,36.6,96.1
GBPJPY,1h,DAY,2.2,2.0,2.1,122,50.0,0.82,-3175.89,5.84,234.56,286.62,-26.03,23.8,395.4
EURUSD,1h,DAY,2.0,2.0,0.3,165,46.1,0.83,-3182.43,5.7,203.07,209.16,-19.29,29.7,334.5
NZDCHF,1h,DAY,2.2,2.0,1.5,87,37.9,0.49,-3185.53,3.2,91.25,114.76,-36.62,32.2,396.6
EURCHF,1h,DAY,2.8,1.5,1.2,55,30.9,0.38,-3201.9,3.2,114.24,135.37,-58.22,5.5,282.5
GBPCAD,15m,DAY,2.2,1.5,2.2,133,36.1,0.6,-3218.48,3.45,102.63,95.82,-24.2,38.3,77.6
GBPAUD,15m,US,2.2,2.0,2.7,41,34.1,0.26,-3228.3,3.23,81.77,161.97,-78.74,31.7,129.1
GBPAUD,15m,DAY,2.5,2.0,2.7,52,38.5,0.33,-3230.15,3.23,78.57,150.05,-62.12,38.5,131.2
EURCHF,1h,US,2.5,2.0,1.2,59,28.8,0.44,-3242.12,3.57,152.88,139.07,-54.95,8.5,278.6
USDJPY,15m,DAY,2.2,1.5,1.0,148,38.5,0.65,-3247.26,4.25,106.55,102.42,-21.94,37.8,95.7
CADJPY,15m,DAY,2.0,2.0,1.6,121,43.8,0.45,-3252.72,3.47,51.13,87.68,-26.88,45.5,110.5
GBPCHF,15m,US,2.2,2.5,1.7,38,36.8,0.3,-3286.21,3.36,101.32,196.03,-86.48,39.5,156.7
NZDCHF,1h,DAY,2.2,1.5,1.5,92,33.7,0.48,-3289.93,3.3,97.99,103.73,-35.76,26.1,324.1
GBPCAD,1h,US,2.5,2.0,2.2,65,38.5,0.58,-3300.42,3.52,180.97,195.62,-50.78,12.3,280.6
EURCAD,15m,DAY,2.2,2.5,1.9,103,45.6,0.45,-3310.04,3.54,57.47,107.34,-32.14,53.4,131.1
GBPAUD,15m,DAY,2.5,2.5,2.7,51,41.2,0.32,-3331.51,3.33,75.57,163.95,-65.32,43.1,156.2
